Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Stroke,Paracetamol,"Nausea, Headache, Dizziness",8,77,36,85,83,153,Avoid,Yes,None,None,AB-,9
Alzheimer’s disease,Paracetamol,"Nausea, Headache, Dizziness",12,62,41,91,93,161,Moderate,Yes,"Penicillin,Dust,None",None,B-,10
Dengue,ORS,"Nausea, Headache, Dizziness",3,60,25,94,82,132,Low,Yes,"Penicillin,Dust,None",None,A+,9
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",13,83,36,89,90,138,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,7
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",12,51,35,110,80,167,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,9
Dengue,IV Fluids,"Nausea, Headache, Dizziness",8,65,34,91,100,142,Avoid,No,None,None,B-,6
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",5,67,41,96,81,152,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Lung cancer,Amoxicillin,"Nausea, Headache, Dizziness",4,65,40,97,100,166,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,10
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",13,76,26,92,83,165,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB+,6
Vitamin B12 deficiency,Ibuprofen,"Nausea, Headache, Dizziness",15,72,42,106,94,141,Avoid,No,None,None,B+,6
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",4,65,28,64,91,128,Low,No,"Penicillin,Dust,None",None,AB-,9
Stroke,Paracetamol,"Nausea, Headache, Dizziness",3,74,28,82,100,135,Avoid,No,Food Allergy,None,A-,7
Measles,Ibuprofen,"Nausea, Headache, Dizziness",12,85,32,63,97,139,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,6
Diabetes mellitus type 2,Metformin,"Nausea, Headache, Dizziness",12,57,36,60,80,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",11,85,26,82,87,132,Low,No,"Penicillin,Dust,None",None,B+,8
Kidney stones,Paracetamol,"Nausea, Headache, Dizziness",4,67,43,107,99,126,Low,No,None,"None,Statins,Insulin,BP Meds",O-,7
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",15,55,41,67,91,149,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,7
Cholera,Amoxicillin,"Nausea, Headache, Dizziness",1,53,44,108,88,170,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB+,9
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",4,60,28,107,85,159,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",1,69,39,78,99,128,Avoid,No,"Penicillin,Dust,None",None,AB+,6
Rheumatoid arthritis,Amoxicillin,"Nausea, Headache, Dizziness",15,52,38,78,100,129,Avoid,Yes,Food Allergy,None,A+,7
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",6,81,30,106,93,131,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",11,79,37,110,95,147,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Vitamin B12 deficiency,Paracetamol,"Nausea, Headache, Dizziness",3,58,25,100,91,138,Low,No,None,None,AB+,9
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",1,53,38,72,100,139,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",1,60,31,74,94,150,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",3,68,25,106,97,143,Low,Yes,"Penicillin,Dust,None",None,AB+,10
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",5,53,37,80,98,136,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
HIV/AIDS,Efavirenz,"Nausea, Headache, Dizziness",6,67,43,88,99,140,Moderate,Yes,None,None,A+,9
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",7,55,31,68,92,150,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,10
Epilepsy,Amoxicillin,"Nausea, Headache, Dizziness",9,58,45,83,97,127,Avoid,No,None,None,AB+,8
Rabies,Paracetamol,"Nausea, Headache, Dizziness",9,63,30,95,94,132,Low,Yes,None,None,O-,7
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",7,81,31,90,85,138,Moderate,No,None,None,O+,9
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",1,58,41,68,90,131,Avoid,Yes,"Penicillin,Dust,None",None,AB+,7
Malaria,Chloroquine,"Nausea, Headache, Dizziness",5,69,39,75,91,165,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,7
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",14,58,25,62,97,121,Low,No,None,"None,Statins,Insulin,BP Meds",O-,8
Migraine,Amoxicillin,"Nausea, Headache, Dizziness",13,78,27,103,87,150,Low,Yes,None,None,O+,10
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",6,71,45,103,92,138,Low,No,"Penicillin,Dust,None",None,B-,9
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",9,70,43,99,95,167,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",3,71,33,101,88,127,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
Osteoarthritis,Ibuprofen,"Nausea, Headache, Dizziness",7,56,45,63,88,151,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,10
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",1,63,25,76,97,134,Avoid,No,"Penicillin,Dust,None",None,A-,7
Measles,Amoxicillin,"Nausea, Headache, Dizziness",7,55,32,69,94,158,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B+,9
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",14,71,29,69,97,159,Avoid,Yes,Food Allergy,None,A+,7
Parkinson’s disease,Amoxicillin,"Nausea, Headache, Dizziness",8,65,45,103,80,136,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Kidney stones,Paracetamol,"Nausea, Headache, Dizziness",5,64,38,104,89,128,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",5,57,27,80,98,155,Low,No,Food Allergy,None,B+,8
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",9,53,41,70,86,123,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",8,71,32,66,91,162,Avoid,No,"Penicillin,Dust,None",None,AB+,9
Depression,Fluoxetine,"Nausea, Headache, Dizziness",14,71,44,60,97,154,Moderate,No,"Penicillin,Dust,None",None,B+,10
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",9,58,38,65,84,142,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,10
Measles,Paracetamol,"Nausea, Headache, Dizziness",12,63,36,86,82,123,Avoid,No,Food Allergy,None,AB+,9
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",6,72,44,102,97,124,Avoid,No,None,None,B+,10
Malaria,Artemether,"Nausea, Headache, Dizziness",5,80,29,93,80,149,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,10
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",14,78,43,76,81,135,Avoid,Yes,Food Allergy,None,B+,10
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",9,68,26,87,95,154,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",3,71,28,95,97,148,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,9
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",15,77,40,84,99,136,Avoid,Yes,None,None,A+,7
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",11,50,45,62,86,124,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,6
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",11,71,26,98,83,147,Moderate,No,None,None,O+,9
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",10,54,34,64,97,154,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Psoriasis,Amoxicillin,"Nausea, Headache, Dizziness",10,69,31,98,95,164,Avoid,Yes,"Penicillin,Dust,None",None,AB+,7
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",9,79,39,98,97,156,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",11,69,26,90,83,163,Avoid,Yes,"Penicillin,Dust,None",None,AB+,7
Rabies,Paracetamol,"Nausea, Headache, Dizziness",8,80,36,94,84,159,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,6
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",3,71,33,101,88,127,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",9,71,33,76,85,164,Low,Yes,"Penicillin,Dust,None",None,A+,9
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",2,81,39,94,100,138,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,8
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",2,71,26,99,96,158,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O-,6
Malaria,Chloroquine,"Nausea, Headache, Dizziness",5,75,34,70,95,137,Low,No,None,None,B+,6
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",13,55,33,106,84,167,Avoid,No,None,None,B-,7
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",1,59,40,100,82,147,Low,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Cirrhosis,Ibuprofen,"Nausea, Headache, Dizziness",4,53,30,95,90,141,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,6
Psoriasis,Paracetamol,"Nausea, Headache, Dizziness",14,57,34,106,98,139,Moderate,Yes,"Penicillin,Dust,None",None,AB-,7
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",9,68,28,90,84,160,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",13,72,32,60,95,137,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",15,76,25,65,80,158,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,8
Heart attack,Atorvastatin,"Nausea, Headache, Dizziness",8,75,38,66,81,136,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Hypertension,Enalapril,"Nausea, Headache, Dizziness",14,84,41,103,93,126,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,9
Chikungunya,Amoxicillin,"Nausea, Headache, Dizziness",6,62,44,80,86,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",3,83,44,89,87,129,Moderate,Yes,"Penicillin,Dust,None",None,AB+,6
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",5,53,33,105,81,159,Moderate,No,None,None,O+,8
Measles,Amoxicillin,"Nausea, Headache, Dizziness",13,61,31,108,99,135,Avoid,Yes,Food Allergy,None,A+,9
Vitamin B12 deficiency,Paracetamol,"Nausea, Headache, Dizziness",2,71,41,103,97,144,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB+,6
IBS,Amoxicillin,"Nausea, Headache, Dizziness",1,81,35,72,95,168,Low,No,"Penicillin,Dust,None",None,AB+,9
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",10,59,43,66,100,129,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,6
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",5,67,45,71,91,144,Avoid,No,None,None,B-,9
Dengue,IV Fluids,"Nausea, Headache, Dizziness",3,53,37,74,99,153,Moderate,No,None,"None,Statins,Insulin,BP Meds",A-,7
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",7,53,27,108,81,135,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
IBS,Amoxicillin,"Nausea, Headache, Dizziness",13,63,28,106,87,146,Low,Yes,None,None,O+,7
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",4,75,35,63,94,155,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",2,84,32,82,85,130,Avoid,No,None,None,A+,6
Vitamin D deficiency,Amoxicillin,"Nausea, Headache, Dizziness",5,67,34,89,82,163,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,6
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",5,82,31,104,82,120,Avoid,Yes,"Penicillin,Dust,None",None,B+,6
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",8,53,31,108,93,139,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,7
Gonorrhea,Ibuprofen,"Nausea, Headache, Dizziness",6,78,25,105,90,156,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB+,7
PCOS,Paracetamol,"Nausea, Headache, Dizziness",3,55,38,91,86,122,Low,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",8,74,33,94,88,154,Avoid,No,None,"None,Statins,Insulin,BP Meds",B-,10
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",13,52,38,78,80,156,Avoid,No,"Penicillin,Dust,None",None,B+,8
IBS,Amoxicillin,"Nausea, Headache, Dizziness",5,76,25,90,99,166,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",7,72,32,83,86,148,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",15,66,33,65,100,137,Low,No,Food Allergy,None,O-,9
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",13,50,29,103,93,134,Low,No,None,None,AB+,8
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",14,82,44,101,80,141,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",3,64,41,109,82,157,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",12,54,36,104,100,128,Low,No,None,"None,Statins,Insulin,BP Meds",B+,6
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",14,82,35,97,87,156,Avoid,No,None,None,AB+,8
Stroke,Paracetamol,"Nausea, Headache, Dizziness",5,69,29,96,87,123,Avoid,No,"Penicillin,Dust,None",None,AB+,10
Kidney stones,Paracetamol,"Nausea, Headache, Dizziness",7,77,26,72,93,155,Moderate,Yes,None,None,AB+,9
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",11,54,31,109,80,146,Low,Yes,None,None,A-,7
Dengue fever,Ibuprofen,"Nausea, Headache, Dizziness",1,67,25,65,86,125,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Malnutrition,Amoxicillin,"Nausea, Headache, Dizziness",10,59,35,95,81,126,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,7
Migraine,Amoxicillin,"Nausea, Headache, Dizziness",15,63,28,75,86,134,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,9
IBS,Ibuprofen,"Nausea, Headache, Dizziness",7,78,42,86,88,122,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,6
Dengue,Paracetamol,"Nausea, Headache, Dizziness",15,84,27,82,97,160,Low,Yes,Food Allergy,None,A+,6
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",4,63,25,101,93,159,Moderate,No,"Penicillin,Dust,None",None,A-,7
Malaria,Chloroquine,"Nausea, Headache, Dizziness",5,58,29,78,83,136,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,10
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",15,58,36,103,84,122,Moderate,No,None,None,B-,7
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",4,63,42,91,82,125,Avoid,Yes,None,None,O-,10
Cirrhosis,Amoxicillin,"Nausea, Headache, Dizziness",5,73,36,82,80,158,Avoid,No,None,None,A-,8
Hepatitis B,Paracetamol,"Nausea, Headache, Dizziness",4,67,33,68,89,161,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",9,65,40,62,87,133,Moderate,Yes,Food Allergy,None,O+,6
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",11,77,35,104,98,156,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,7
Syphilis,Amoxicillin,"Nausea, Headache, Dizziness",7,83,42,98,98,134,Moderate,No,"Penicillin,Dust,None",None,O+,8
COPD,Paracetamol,"Nausea, Headache, Dizziness",7,76,26,65,80,146,Moderate,No,None,None,A-,8
Stroke,Amoxicillin,"Nausea, Headache, Dizziness",11,66,26,105,87,143,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
Vitamin B12 deficiency,Amoxicillin,"Nausea, Headache, Dizziness",13,53,40,64,80,170,Moderate,Yes,"Penicillin,Dust,None",None,O+,10
Bronchitis,Paracetamol,"Nausea, Headache, Dizziness",7,58,42,95,93,122,Moderate,Yes,None,None,AB-,9
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",12,54,30,72,94,125,Moderate,No,"Penicillin,Dust,None",None,AB+,7
Eczema,Paracetamol,"Nausea, Headache, Dizziness",13,68,33,86,100,170,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",12,74,44,70,97,142,Avoid,No,None,None,A-,6
Asthma,Montelukast,"Nausea, Headache, Dizziness",5,50,30,110,95,160,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",10,84,38,98,93,161,Low,No,"Penicillin,Dust,None",None,A-,8
Bronchitis,Paracetamol,"Nausea, Headache, Dizziness",1,52,39,72,83,145,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,8
Gonorrhea,Ibuprofen,"Nausea, Headache, Dizziness",4,82,44,74,91,156,Low,No,None,None,AB-,9
Cholera,Paracetamol,"Nausea, Headache, Dizziness",6,76,40,95,82,137,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,8
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",2,78,39,87,83,169,Low,Yes,Food Allergy,None,A-,6
Dengue,IV Fluids,"Nausea, Headache, Dizziness",13,54,44,64,83,156,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB+,7
Tuberculosis,Paracetamol,"Nausea, Headache, Dizziness",8,73,25,63,97,124,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,9
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",15,73,30,106,96,165,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,10
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",9,63,39,64,100,151,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
IBS,Amoxicillin,"Nausea, Headache, Dizziness",14,52,42,102,95,160,Moderate,Yes,Food Allergy,None,O-,10
Heart attack,Aspirin,"Nausea, Headache, Dizziness",4,78,40,70,85,131,Low,No,Food Allergy,None,A+,9
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",3,84,33,103,93,170,Low,Yes,None,None,B-,9
Asthma,Montelukast,"Nausea, Headache, Dizziness",5,50,30,110,95,160,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Anemia,Folic acid,"Nausea, Headache, Dizziness",8,55,35,88,98,132,Low,No,None,"None,Statins,Insulin,BP Meds",AB-,8
GERD,Omeprazole,"Nausea, Headache, Dizziness",2,55,30,91,97,121,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Dengue,IV Fluids,"Nausea, Headache, Dizziness",8,65,34,91,100,142,Avoid,No,None,None,B-,6
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",4,76,40,71,91,165,Avoid,No,Food Allergy,None,O+,6
Hypertension,Losartan,"Nausea, Headache, Dizziness",2,61,39,83,87,138,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Tuberculosis,Paracetamol,"Nausea, Headache, Dizziness",12,85,38,94,100,161,Low,No,Food Allergy,None,AB+,10
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",13,68,40,77,82,133,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Gout,Paracetamol,"Nausea, Headache, Dizziness",10,73,38,88,88,148,Low,No,None,"None,Statins,Insulin,BP Meds",O+,8
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",8,56,36,61,86,127,Moderate,Yes,None,None,AB+,8
Cirrhosis,Paracetamol,"Nausea, Headache, Dizziness",8,78,26,66,100,131,Moderate,Yes,None,None,B+,8
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",8,72,42,86,97,142,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Rabies,Paracetamol,"Nausea, Headache, Dizziness",6,60,31,101,86,140,Moderate,No,None,None,A+,10
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",1,53,28,99,90,162,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",2,83,38,63,93,123,Moderate,No,None,None,O+,10
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",12,78,40,75,89,159,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,10
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",13,81,45,61,81,169,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,10
GERD,Pantoprazole,"Nausea, Headache, Dizziness",14,78,43,99,90,152,Moderate,No,"Penicillin,Dust,None",None,A-,9
Stroke,Ibuprofen,"Nausea, Headache, Dizziness",9,59,41,81,99,122,Low,No,None,"None,Statins,Insulin,BP Meds",A-,8
Dengue,ORS,"Nausea, Headache, Dizziness",4,67,40,103,97,154,Avoid,No,"Penicillin,Dust,None",None,O+,6
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",1,78,25,89,88,168,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,9
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",12,85,30,84,97,138,Avoid,Yes,None,None,A+,7
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",7,76,31,80,87,136,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB-,10
Tuberculosis,Paracetamol,"Nausea, Headache, Dizziness",3,80,36,78,87,157,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,9
Chronic kidney disease,Ibuprofen,"Nausea, Headache, Dizziness",4,83,39,66,95,131,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",13,80,30,110,88,128,Low,Yes,None,None,O+,6
Acne,Amoxicillin,"Nausea, Headache, Dizziness",11,57,35,106,81,138,Avoid,No,"Penicillin,Dust,None",None,O+,8
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",3,81,45,66,81,123,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,7
IBS,Amoxicillin,"Nausea, Headache, Dizziness",3,71,31,70,97,136,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,10
Dengue,IV Fluids,"Nausea, Headache, Dizziness",12,73,31,90,85,150,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,7
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",12,76,42,106,91,170,Low,No,Food Allergy,None,AB-,8
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",11,82,30,61,90,133,Low,Yes,"Penicillin,Dust,None",None,A+,6
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",13,77,32,105,80,147,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
COPD,Ibuprofen,"Nausea, Headache, Dizziness",9,53,26,79,98,157,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",4,74,37,109,97,154,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,8
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",14,70,33,88,80,144,Avoid,Yes,Food Allergy,None,O+,8
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",15,58,27,70,93,120,Low,Yes,None,None,B-,8
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",11,84,26,90,100,164,Low,Yes,Food Allergy,None,B-,8
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",5,67,28,75,86,149,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB+,6
Lung cancer,Ibuprofen,"Nausea, Headache, Dizziness",15,77,44,80,84,156,Moderate,No,None,None,B+,9
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",2,80,39,82,100,162,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",8,72,29,98,84,166,Low,Yes,Food Allergy,None,O+,7
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",3,71,45,68,91,131,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,9
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",4,58,25,109,81,156,Avoid,Yes,None,None,O-,6
IBS,Paracetamol,"Nausea, Headache, Dizziness",15,66,36,74,96,141,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
