Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Tuberculosis,Ethambutol,Diarrhea,14,79,32,80,90,170,Occasional,No,None,Calcium,A+,5
COVID-19,Favipiravir,Diarrhea,8,49,37,87,97,149,Occasional,Yes,Sulfa,Iron Supplement,AB-,9
PCOS,Clomiphene,Dry Mouth,6,75,36,69,94,157,Occasional,Yes,Dust,Vitamin D,O-,4
Migraine,Topiramate,Constipation,17,49,50,81,84,174,Occasional,No,Penicillin,Vitamin D,AB+,10
Flu,Oseltamivir,Dry Mouth,16,85,36,113,97,147,Yes,Not Applicable,Pollen,Multivitamin,AB+,6
Hypertension,Losartan,Fatigue,18,71,39,83,80,127,Occasional,No,Sulfa,Vitamin D,AB+,7
Thyroid Disorder,Carbimazole,Headache,17,63,38,75,100,140,Occasional,Yes,None,Vitamin D,B-,8
Allergy,Cetirizine,Dizziness,2,88,48,117,86,164,No,No,Sulfa,Vitamin D,O-,9
Migraine,Propranolol,Nausea,4,56,39,71,93,121,Yes,Yes,Dust,Multivitamin,AB-,5
Anxiety,Buspirone,Constipation,10,56,37,106,87,135,Occasional,Yes,None,Vitamin D,A-,10
Kidney Disease,Calcitriol,Vomiting,6,64,30,108,100,134,No,Not Applicable,Penicillin,Multivitamin,A+,5
Thyroid Disorder,Carbimazole,Dry Mouth,11,52,48,67,81,145,Occasional,No,None,Vitamin D,AB-,5
COVID-19,Favipiravir,Headache,16,70,30,81,80,151,Occasional,Not Applicable,Penicillin,None,AB+,5
Allergy,Fexofenadine,Rash,15,53,32,65,83,179,Yes,Yes,Pollen,Multivitamin,O-,5
Hypertension,Losartan,Sleepiness,8,84,32,85,85,121,Occasional,Yes,None,Calcium,B+,10
Malaria,Artemether,Dizziness,4,67,42,120,96,148,Yes,Not Applicable,Dust,Vitamin D,AB+,10
Obesity,Liraglutide,Dry Mouth,6,45,34,61,85,126,Yes,Not Applicable,Sulfa,Calcium,AB-,8
Typhoid,Cefixime,Dry Mouth,15,42,44,102,92,123,No,Not Applicable,Peanuts,Vitamin D,A-,8
Heart Disease,Aspirin,Dizziness,15,75,41,76,86,152,Yes,Not Applicable,Dust,None,AB-,10
Thyroid Disorder,Propylthiouracil,Dizziness,14,88,36,87,88,126,Yes,Yes,Pollen,Calcium,O+,7
Obesity,Phentermine,Nausea,14,47,38,92,84,154,Occasional,Yes,Peanuts,Iron Supplement,O+,6
Anxiety,Clonazepam,Vomiting,2,58,47,96,99,173,Yes,No,Pollen,None,A+,5
Allergy,Loratadine,Fatigue,2,48,39,65,96,121,No,Not Applicable,Dust,None,A-,8
Flu,Ibuprofen,Fatigue,8,78,32,106,85,132,Occasional,Not Applicable,Sulfa,Vitamin D,A+,10
Heart Disease,Clopidogrel,Dry Mouth,14,87,43,60,80,137,Occasional,Yes,Peanuts,Iron Supplement,AB-,8
Depression,Sertraline,Diarrhea,17,65,32,65,84,128,Occasional,Not Applicable,Dust,Multivitamin,O+,4
Kidney Disease,Erythropoietin,Rash,16,64,46,73,82,172,Occasional,Yes,Penicillin,Vitamin D,B+,7
Diabetes,Insulin,Nausea,5,80,50,81,100,171,Occasional,No,None,Calcium,AB-,8
Anxiety,Alprazolam,Diarrhea,7,89,34,116,89,121,Occasional,Not Applicable,Sulfa,Calcium,A-,6
Liver Disease,Ursodeoxycholic Acid,Nausea,9,63,31,117,81,124,No,Not Applicable,Pollen,None,A+,7
Cancer,Imatinib,Headache,5,90,41,90,86,158,Yes,Not Applicable,Pollen,Vitamin D,A-,5
Cancer,Cisplatin,Fatigue,2,65,43,107,87,159,Yes,Yes,Pollen,None,B+,6
PCOS,Clomiphene,Rash,9,58,33,97,80,158,Occasional,Not Applicable,Penicillin,Calcium,B-,9
Flu,Paracetamol,Nausea,1,56,49,64,96,174,Occasional,No,Sulfa,Multivitamin,B-,6
Anxiety,Clonazepam,Nausea,7,87,32,99,86,160,No,No,Dust,None,A-,4
Arthritis,Ibuprofen,Headache,7,67,48,74,93,136,Yes,Yes,Penicillin,Iron Supplement,B-,6
Anxiety,Buspirone,Sleepiness,17,72,41,74,92,172,Yes,Not Applicable,Dust,Calcium,AB-,10
Diabetes,Metformin,Constipation,6,41,39,67,96,160,No,No,Sulfa,Multivitamin,A+,8
Migraine,Topiramate,Vomiting,12,88,50,108,99,157,No,Yes,Penicillin,Iron Supplement,O-,8
PCOS,Clomiphene,Dizziness,17,48,41,60,83,179,Yes,No,Pollen,Vitamin D,AB+,8
Heart Disease,Clopidogrel,Headache,1,67,48,115,88,125,Occasional,Yes,Sulfa,Calcium,AB-,9
Tuberculosis,Rifampicin,Rash,1,76,35,114,83,135,No,Yes,Sulfa,None,AB-,8
Flu,Ibuprofen,Headache,17,46,43,67,85,146,No,No,Penicillin,None,AB-,4
Depression,Escitalopram,Dry Mouth,7,85,49,88,94,143,No,Not Applicable,Penicillin,Iron Supplement,O-,5
Asthma,Salbutamol,Rash,16,69,43,67,88,138,Yes,No,Sulfa,Vitamin D,A-,10
Heart Disease,Atorvastatin,Diarrhea,3,86,48,93,96,167,Occasional,No,Pollen,Iron Supplement,B-,10
Obesity,Orlistat,Diarrhea,4,67,35,74,92,172,No,Not Applicable,Dust,Iron Supplement,AB+,9
Anxiety,Clonazepam,Dizziness,2,61,50,93,89,136,Yes,No,None,Vitamin D,A+,10
Liver Disease,Lactulose,Sleepiness,5,74,46,120,88,155,Occasional,Yes,None,None,O-,7
PCOS,Clomiphene,Dizziness,18,66,44,78,99,126,Yes,Not Applicable,Pollen,Vitamin D,O+,7
Tuberculosis,Isoniazid,Dry Mouth,8,84,37,82,93,153,No,Not Applicable,Sulfa,Iron Supplement,A-,4
Heart Disease,Atorvastatin,Sleepiness,12,52,49,60,81,132,Yes,No,None,Vitamin D,AB+,7
Cancer,Imatinib,Constipation,5,63,43,107,95,150,No,Not Applicable,Penicillin,Multivitamin,O-,5
PCOS,Clomiphene,Headache,12,58,39,91,97,167,No,Not Applicable,Dust,None,AB+,4
Migraine,Propranolol,Rash,6,77,32,73,87,150,Yes,Yes,Pollen,Multivitamin,A+,5
Liver Disease,Rifaximin,Dry Mouth,2,58,48,90,96,128,Yes,Not Applicable,Penicillin,Vitamin D,B+,8
Thyroid Disorder,Carbimazole,Rash,16,47,40,66,88,130,Occasional,Yes,Dust,Calcium,O-,5
Typhoid,Azithromycin,Dry Mouth,7,52,50,75,81,146,No,Not Applicable,Peanuts,Iron Supplement,A-,8
Allergy,Fexofenadine,Sleepiness,10,72,44,64,93,141,No,Yes,Peanuts,Calcium,O-,5
Obesity,Liraglutide,Constipation,9,64,38,62,91,128,No,Yes,Pollen,Iron Supplement,B+,7
Flu,Oseltamivir,Diarrhea,3,78,33,94,82,134,No,Yes,Peanuts,Iron Supplement,AB+,4
PCOS,Clomiphene,Vomiting,6,66,37,103,98,128,Occasional,Yes,Sulfa,None,B+,4
Migraine,Sumatriptan,Dry Mouth,1,56,30,99,99,173,Occasional,Yes,Penicillin,Multivitamin,B+,8
Arthritis,Ibuprofen,Diarrhea,4,52,39,92,95,152,Yes,Yes,Dust,Vitamin D,AB+,10
Migraine,Topiramate,Dry Mouth,7,43,42,79,80,160,No,No,Sulfa,Calcium,O+,8
Migraine,Topiramate,Headache,7,64,30,92,90,123,Yes,No,Sulfa,Iron Supplement,O+,6
Tuberculosis,Isoniazid,Dizziness,17,41,39,67,87,133,No,Not Applicable,Peanuts,Multivitamin,B-,5
Typhoid,Ciprofloxacin,Diarrhea,6,64,32,87,85,133,Occasional,Yes,Peanuts,None,A-,4
Anxiety,Buspirone,Dry Mouth,12,87,36,82,93,153,No,Yes,None,Calcium,A+,8
Liver Disease,Lactulose,Nausea,3,67,32,114,93,173,Yes,Not Applicable,Pollen,Multivitamin,AB-,7
Arthritis,Ibuprofen,Constipation,15,77,48,66,100,157,Yes,Not Applicable,Sulfa,None,A+,5
Heart Disease,Clopidogrel,Vomiting,2,51,49,75,97,172,Occasional,No,Sulfa,Iron Supplement,AB-,9
Liver Disease,Rifaximin,Constipation,13,82,43,100,84,120,No,Not Applicable,None,Vitamin D,AB+,6
Thyroid Disorder,Carbimazole,Dizziness,1,79,30,118,81,129,Occasional,Not Applicable,Dust,Vitamin D,A-,6
Heart Disease,Aspirin,Rash,8,73,48,105,89,171,Yes,Yes,Penicillin,Vitamin D,B-,4
Asthma,Montelukast,Dizziness,6,69,30,61,91,129,Occasional,Yes,Pollen,Vitamin D,B-,5
Hypertension,Amlodipine,Nausea,9,70,40,79,96,135,No,Yes,None,Vitamin D,A+,6
Obesity,Liraglutide,Rash,15,70,41,76,82,175,No,Not Applicable,Sulfa,Iron Supplement,A+,7
Arthritis,Methotrexate,Dry Mouth,17,86,44,119,98,130,Occasional,Not Applicable,Sulfa,None,O-,7
Asthma,Salbutamol,Diarrhea,17,42,38,65,90,153,No,Not Applicable,Dust,None,A+,5
Obesity,Liraglutide,Sleepiness,10,44,48,103,90,120,Occasional,No,Sulfa,Vitamin D,B+,9
Typhoid,Azithromycin,Constipation,5,70,47,105,85,137,No,Not Applicable,None,None,A-,7
Allergy,Fexofenadine,Nausea,17,78,45,102,89,144,Occasional,Not Applicable,Penicillin,Multivitamin,B-,5
Hypertension,Amlodipine,Rash,17,41,36,93,80,133,Yes,No,None,None,O-,4
Asthma,Budesonide,Diarrhea,4,54,43,96,80,138,Occasional,No,None,None,O+,10
Cancer,Cisplatin,Rash,5,52,45,109,88,132,Yes,No,Penicillin,Multivitamin,B+,4
Flu,Oseltamivir,Sleepiness,1,81,46,75,98,173,Yes,Yes,None,Vitamin D,A+,8
Heart Disease,Clopidogrel,Diarrhea,7,90,43,95,84,169,Yes,Yes,Sulfa,Multivitamin,A+,9
Heart Disease,Clopidogrel,Rash,14,75,47,84,80,142,No,No,Peanuts,Multivitamin,A+,10
Typhoid,Ciprofloxacin,Dry Mouth,14,67,41,100,96,178,No,Yes,Peanuts,None,A+,8
Malaria,Chloroquine,Sleepiness,15,88,32,94,98,123,Yes,Not Applicable,Penicillin,Multivitamin,AB-,10
Thyroid Disorder,Levothyroxine,Constipation,16,45,43,64,95,139,Occasional,Not Applicable,Peanuts,None,O-,4
COVID-19,Paracetamol,Nausea,5,68,48,101,80,134,Occasional,Yes,Peanuts,Calcium,B-,10
Liver Disease,Rifaximin,Nausea,5,85,38,63,85,173,No,No,Sulfa,None,B-,8
Asthma,Salbutamol,Dizziness,8,58,46,79,82,134,Yes,Not Applicable,None,None,B-,5
Typhoid,Azithromycin,Fatigue,7,61,30,110,81,140,No,No,Pollen,None,AB+,5
Obesity,Orlistat,Sleepiness,1,72,45,92,94,132,No,Yes,None,None,O-,8
Tuberculosis,Isoniazid,Fatigue,12,61,50,107,91,165,Yes,No,None,Iron Supplement,AB+,4
PCOS,Clomiphene,Vomiting,18,58,36,91,86,169,Yes,Yes,Pollen,Vitamin D,O+,8
PCOS,Metformin,Dizziness,17,61,48,106,95,144,Occasional,Not Applicable,Pollen,Calcium,A-,8
PCOS,Metformin,Sleepiness,6,81,41,86,86,153,Occasional,Yes,Sulfa,None,A+,7
Obesity,Phentermine,Constipation,9,61,40,106,87,150,No,Yes,Dust,Multivitamin,B+,8
Asthma,Salbutamol,Dry Mouth,17,66,35,109,90,167,Yes,No,Sulfa,Iron Supplement,A-,4
PCOS,Metformin,Nausea,1,49,33,69,99,163,Occasional,Yes,Sulfa,Multivitamin,AB-,7
Arthritis,Diclofenac,Fatigue,15,44,45,113,81,138,Occasional,No,Dust,Iron Supplement,A-,6
Liver Disease,Rifaximin,Diarrhea,11,62,48,116,100,151,No,Not Applicable,Pollen,Vitamin D,A-,4
Anxiety,Buspirone,Dry Mouth,18,42,48,78,90,129,Yes,No,Pollen,Iron Supplement,O+,8
Malaria,Artemether,Fatigue,16,63,45,77,96,121,Yes,Yes,Peanuts,Calcium,AB-,9
Obesity,Liraglutide,Sleepiness,6,44,46,83,81,140,Occasional,Yes,Dust,None,O+,7
Liver Disease,Lactulose,Rash,9,90,44,85,99,122,No,Not Applicable,Dust,Calcium,B+,7
Thyroid Disorder,Carbimazole,Dizziness,5,67,37,120,82,135,Yes,Yes,Dust,None,AB-,7
PCOS,Letrozole,Sleepiness,14,84,49,74,100,134,Occasional,Yes,Peanuts,Vitamin D,AB+,7
Arthritis,Ibuprofen,Nausea,16,64,34,108,99,143,Yes,Not Applicable,Sulfa,Iron Supplement,B+,5
Obesity,Liraglutide,Fatigue,13,85,38,74,98,120,Occasional,Not Applicable,Peanuts,Iron Supplement,A+,9
Anxiety,Alprazolam,Headache,14,89,36,118,97,174,Yes,Yes,None,Multivitamin,AB+,5
PCOS,Metformin,Dry Mouth,8,60,32,94,86,176,No,No,None,Calcium,A-,4
Anxiety,Alprazolam,Sleepiness,9,86,39,87,87,120,Occasional,Not Applicable,Sulfa,Vitamin D,AB-,10
Kidney Disease,Calcitriol,Rash,14,47,45,115,89,122,Yes,No,None,Calcium,AB+,5
Diabetes,Insulin,Nausea,5,64,40,74,100,151,Yes,Not Applicable,Penicillin,Vitamin D,A-,8
Kidney Disease,Calcitriol,Sleepiness,1,50,49,83,100,146,No,Not Applicable,Peanuts,Iron Supplement,O+,9
Flu,Oseltamivir,Headache,18,88,41,99,92,159,Occasional,Not Applicable,Pollen,Multivitamin,A-,4
Flu,Paracetamol,Diarrhea,18,62,31,106,84,174,No,No,Peanuts,Vitamin D,A-,5
Anxiety,Clonazepam,Dizziness,16,87,48,70,81,162,Yes,No,Dust,Multivitamin,A-,6
Tuberculosis,Ethambutol,Dizziness,3,71,36,118,84,146,Occasional,Yes,Peanuts,Multivitamin,B-,6
Depression,Escitalopram,Sleepiness,18,50,43,90,99,179,Occasional,Yes,Peanuts,Multivitamin,B-,4
Tuberculosis,Rifampicin,Headache,8,56,46,99,94,139,Occasional,Not Applicable,Pollen,None,O-,9
Allergy,Loratadine,Vomiting,8,66,46,78,80,122,No,No,Dust,Calcium,A-,5
Obesity,Liraglutide,Fatigue,11,40,32,107,90,132,No,No,Pollen,Multivitamin,O+,9
Obesity,Orlistat,Fatigue,7,89,48,108,98,158,Yes,No,None,Vitamin D,O+,10
Hypertension,Losartan,Sleepiness,15,59,48,103,82,168,Yes,No,Dust,Calcium,B+,4
Hypertension,Losartan,Vomiting,4,88,42,97,86,178,Yes,Yes,Pollen,Iron Supplement,AB-,8
Depression,Escitalopram,Dry Mouth,1,52,49,100,82,162,Occasional,Not Applicable,Peanuts,Multivitamin,A-,6
Typhoid,Azithromycin,Dry Mouth,8,48,38,82,91,125,Yes,No,Dust,None,A-,4
Cancer,Cisplatin,Diarrhea,8,41,50,85,85,162,Yes,Not Applicable,Sulfa,Iron Supplement,AB-,5
Allergy,Cetirizine,Fatigue,16,47,38,64,87,152,Occasional,Not Applicable,None,Vitamin D,O-,5
Malaria,Primaquine,Diarrhea,4,57,49,120,100,163,Occasional,Not Applicable,Pollen,None,O-,6
Typhoid,Ciprofloxacin,Fatigue,1,46,47,60,98,174,No,Yes,Pollen,Vitamin D,A+,6
Cancer,Imatinib,Diarrhea,12,60,43,118,92,137,No,Not Applicable,Penicillin,None,O-,4
Allergy,Loratadine,Dizziness,13,83,31,93,89,161,Occasional,Yes,Dust,Vitamin D,O-,4
Heart Disease,Aspirin,Nausea,9,89,39,108,99,174,Occasional,Not Applicable,Sulfa,Iron Supplement,A-,10
Thyroid Disorder,Propylthiouracil,Rash,11,67,35,112,82,154,Yes,Yes,Penicillin,Calcium,A-,7
Asthma,Budesonide,Vomiting,6,51,30,120,91,121,Occasional,No,Dust,Multivitamin,B-,6
Migraine,Propranolol,Nausea,12,62,36,106,99,158,Occasional,Not Applicable,None,None,A-,8
Tuberculosis,Rifampicin,Vomiting,16,74,49,66,99,129,Yes,No,Penicillin,Iron Supplement,B-,10
Malaria,Primaquine,Headache,11,89,49,92,80,171,No,No,Peanuts,Multivitamin,B+,6
Migraine,Topiramate,Rash,9,66,36,82,93,143,No,Not Applicable,Pollen,Vitamin D,B+,10
PCOS,Letrozole,Fatigue,14,78,33,71,98,158,Yes,Not Applicable,Penicillin,Iron Supplement,AB+,8
COVID-19,Remdesivir,Nausea,1,58,37,89,97,177,Yes,No,Sulfa,Calcium,AB+,7
Obesity,Orlistat,Vomiting,13,80,39,97,97,158,No,No,Sulfa,Iron Supplement,O+,5
Obesity,Phentermine,Fatigue,6,62,49,96,89,143,No,Yes,Dust,None,AB-,7
PCOS,Clomiphene,Dry Mouth,2,88,47,67,97,155,No,Yes,None,Multivitamin,O-,4
Diabetes,Insulin,Dry Mouth,10,44,38,90,93,161,Yes,No,Peanuts,Vitamin D,A+,8
Allergy,Cetirizine,Headache,14,58,41,67,80,176,No,Yes,Peanuts,Calcium,A-,9
Arthritis,Ibuprofen,Headache,15,75,32,79,85,145,Yes,No,None,Iron Supplement,AB-,5
Migraine,Propranolol,Diarrhea,2,67,36,85,96,130,Occasional,Not Applicable,Penicillin,None,A+,6
Hypertension,Losartan,Rash,14,48,48,113,93,154,Yes,No,Penicillin,Vitamin D,A-,10
Anxiety,Alprazolam,Fatigue,18,77,33,112,86,145,Occasional,Not Applicable,Sulfa,Vitamin D,AB+,9
Thyroid Disorder,Carbimazole,Nausea,13,87,43,83,85,133,Yes,No,Dust,None,AB-,9
Flu,Paracetamol,Vomiting,5,89,35,86,98,132,Yes,Not Applicable,Sulfa,Vitamin D,O-,9
Asthma,Montelukast,Nausea,5,74,36,68,91,179,Occasional,Not Applicable,Sulfa,Calcium,A+,6
Hypertension,Atenolol,Fatigue,17,86,47,92,92,129,Yes,Not Applicable,Pollen,Calcium,B-,10
Diabetes,Glimepiride,Rash,9,89,49,76,100,150,Occasional,Not Applicable,Pollen,Iron Supplement,A-,7
Cancer,Paclitaxel,Dry Mouth,17,88,39,105,84,154,Occasional,Not Applicable,None,Multivitamin,A+,7
Thyroid Disorder,Carbimazole,Diarrhea,4,62,39,82,100,127,Yes,Not Applicable,Sulfa,Multivitamin,O-,8
Tuberculosis,Rifampicin,Dizziness,1,87,50,89,96,169,Yes,No,Sulfa,Iron Supplement,B+,5
Migraine,Topiramate,Constipation,10,82,40,70,95,175,Yes,Yes,Dust,Iron Supplement,O+,9
Malaria,Chloroquine,Dry Mouth,15,73,32,87,99,179,Yes,Yes,Dust,None,B+,9
Depression,Escitalopram,Dizziness,2,53,40,68,89,160,No,No,Pollen,Iron Supplement,B-,4
Heart Disease,Clopidogrel,Diarrhea,12,88,44,108,86,129,Yes,No,Pollen,Iron Supplement,AB-,4
Liver Disease,Ursodeoxycholic Acid,Rash,5,75,32,83,82,163,No,Not Applicable,Peanuts,Iron Supplement,AB-,10
Typhoid,Cefixime,Fatigue,18,58,38,92,92,154,No,No,Pollen,Vitamin D,AB-,7
Asthma,Montelukast,Vomiting,16,77,38,98,88,155,Yes,Not Applicable,Penicillin,Multivitamin,A-,8
Typhoid,Azithromycin,Headache,3,80,32,85,83,158,Yes,Yes,Sulfa,Iron Supplement,O-,9
COVID-19,Remdesivir,Dry Mouth,3,69,40,80,90,141,Occasional,No,Pollen,Multivitamin,B-,9
Anxiety,Alprazolam,Sleepiness,6,60,39,80,87,146,Occasional,Not Applicable,Dust,Vitamin D,B+,10
Hypertension,Losartan,Dry Mouth,14,54,43,90,93,145,Occasional,Not Applicable,Peanuts,None,B-,10
Heart Disease,Clopidogrel,Nausea,5,72,37,87,83,127,No,Yes,Dust,None,O+,9
Allergy,Cetirizine,Rash,12,77,47,104,88,146,Occasional,Yes,Peanuts,None,AB-,4
Tuberculosis,Rifampicin,Dry Mouth,6,64,43,99,89,177,Occasional,Yes,None,Multivitamin,A+,5
Hypertension,Amlodipine,Constipation,17,77,45,70,98,123,No,Yes,Pollen,Iron Supplement,AB+,9
Allergy,Loratadine,Nausea,17,78,32,63,92,126,Occasional,Not Applicable,Dust,Iron Supplement,B-,5
Hypertension,Atenolol,Fatigue,4,57,30,68,84,161,No,Yes,Dust,Multivitamin,AB-,4
Liver Disease,Lactulose,Rash,18,90,33,93,96,170,No,Not Applicable,Penicillin,Calcium,O+,4
Hypertension,Losartan,Dizziness,4,70,33,86,81,128,No,Yes,None,Vitamin D,A+,5
Malaria,Primaquine,Dry Mouth,10,58,35,120,81,167,No,Yes,Pollen,Vitamin D,AB+,4
Tuberculosis,Ethambutol,Diarrhea,8,87,31,107,94,170,No,Not Applicable,Peanuts,Iron Supplement,A+,5
Typhoid,Azithromycin,Headache,17,82,48,68,100,163,Yes,Not Applicable,Pollen,Calcium,O-,9
Depression,Sertraline,Dizziness,15,56,48,72,84,139,Occasional,Not Applicable,Sulfa,Calcium,O-,8
Cancer,Cisplatin,Nausea,5,55,40,63,93,128,Yes,No,Sulfa,None,O+,9
Flu,Oseltamivir,Sleepiness,1,49,49,82,98,176,No,Yes,Pollen,None,A+,8
Anxiety,Buspirone,Sleepiness,11,82,46,75,83,154,Yes,No,None,None,AB-,7
PCOS,Clomiphene,Nausea,10,51,47,103,94,153,Yes,No,Peanuts,None,AB+,10
Malaria,Primaquine,Vomiting,13,74,37,91,85,160,Occasional,No,Peanuts,Iron Supplement,B+,7
Heart Disease,Aspirin,Rash,15,60,38,63,89,152,No,Yes,None,Vitamin D,B+,5
Obesity,Liraglutide,Dizziness,7,80,35,74,87,144,No,No,Penicillin,Vitamin D,B-,10
Arthritis,Ibuprofen,Constipation,9,60,38,98,80,140,No,Yes,Penicillin,Vitamin D,AB+,10
Arthritis,Methotrexate,Headache,5,52,38,65,94,133,No,Yes,Sulfa,Vitamin D,A+,6
Arthritis,Ibuprofen,Headache,16,53,44,66,98,154,Occasional,No,Pollen,Iron Supplement,O+,6
Typhoid,Cefixime,Dry Mouth,18,85,43,99,99,154,Occasional,Not Applicable,Peanuts,None,AB-,4
PCOS,Letrozole,Rash,12,58,30,63,82,173,Occasional,Yes,Penicillin,Calcium,A-,7
Diabetes,Metformin,Dizziness,7,74,44,98,90,141,No,No,Sulfa,Iron Supplement,O+,4
COVID-19,Favipiravir,Nausea,13,67,33,114,80,142,Occasional,Yes,Sulfa,Iron Supplement,O-,8
Obesity,Liraglutide,Rash,15,77,32,86,90,171,Yes,Yes,Pollen,Iron Supplement,A-,5
Flu,Ibuprofen,Dry Mouth,16,87,50,69,98,128,Yes,Yes,Dust,None,B+,6
Heart Disease,Clopidogrel,Headache,16,58,45,101,95,151,No,Yes,Penicillin,Iron Supplement,B-,8
Migraine,Propranolol,Dry Mouth,1,58,44,111,100,137,Yes,No,None,None,O-,5
COVID-19,Remdesivir,Dizziness,13,63,48,67,98,172,Occasional,Yes,None,Multivitamin,AB-,6
Hypertension,Amlodipine,Vomiting,18,87,31,61,96,155,Yes,No,Penicillin,Calcium,B-,9
Kidney Disease,Furosemide,Sleepiness,9,66,43,62,96,160,Occasional,Not Applicable,Dust,Multivitamin,B+,10
Asthma,Budesonide,Vomiting,10,55,37,115,83,146,Occasional,Not Applicable,Sulfa,Calcium,A+,10
Flu,Oseltamivir,Vomiting,7,43,34,107,94,152,No,Yes,Sulfa,Calcium,B+,8
PCOS,Clomiphene,Fatigue,7,54,44,61,90,175,No,No,Pollen,Calcium,B+,4
Flu,Paracetamol,Nausea,15,68,33,116,96,124,No,Yes,Pollen,Vitamin D,O+,9
Migraine,Topiramate,Dry Mouth,12,51,43,98,86,156,Yes,Yes,Dust,None,A-,6
PCOS,Clomiphene,Rash,13,56,39,66,82,129,Yes,No,Pollen,Multivitamin,A-,8
Tuberculosis,Isoniazid,Vomiting,9,43,36,102,99,146,Yes,Yes,Peanuts,Vitamin D,B-,6
Cancer,Paclitaxel,Fatigue,8,67,38,61,93,150,No,Yes,Dust,Vitamin D,O+,10
COVID-19,Favipiravir,Constipation,12,53,34,69,98,141,Occasional,No,Dust,Vitamin D,AB-,7
COVID-19,Remdesivir,Vomiting,5,80,47,114,83,152,Yes,No,Dust,Iron Supplement,A+,10
Liver Disease,Rifaximin,Fatigue,9,82,39,94,95,150,No,No,Pollen,Iron Supplement,AB+,10
Malaria,Artemether,Dizziness,15,60,42,94,99,136,No,No,Penicillin,Multivitamin,A+,9
Malaria,Primaquine,Dizziness,13,75,32,96,83,180,Occasional,Not Applicable,Pollen,Iron Supplement,O-,7
Malaria,Primaquine,Dry Mouth,1,79,45,75,97,155,Yes,Yes,Pollen,Iron Supplement,O-,4
Allergy,Fexofenadine,Dry Mouth,18,68,38,68,91,144,Occasional,No,Sulfa,Iron Supplement,A+,10
Diabetes,Metformin,Rash,4,74,40,72,91,180,Occasional,Not Applicable,Dust,Calcium,B-,5
Arthritis,Ibuprofen,Fatigue,13,44,50,65,93,124,Yes,Yes,Peanuts,None,AB+,8
COVID-19,Favipiravir,Headache,9,84,48,95,89,148,No,No,Pollen,None,B-,6
Arthritis,Diclofenac,Nausea,7,80,42,73,85,146,Yes,Not Applicable,Sulfa,Vitamin D,O+,9
Depression,Fluoxetine,Sleepiness,3,74,31,115,88,125,No,Yes,Sulfa,Vitamin D,AB-,9
Kidney Disease,Erythropoietin,Vomiting,14,68,50,82,84,136,No,No,Peanuts,Calcium,O-,7
Thyroid Disorder,Levothyroxine,Constipation,1,82,46,70,81,177,No,No,Penicillin,Iron Supplement,AB+,5
Tuberculosis,Rifampicin,Headache,13,60,49,103,99,152,Yes,Yes,Sulfa,Calcium,AB+,8
Arthritis,Methotrexate,Sleepiness,14,81,36,85,95,160,Yes,Yes,Pollen,Multivitamin,O+,10
Liver Disease,Rifaximin,Constipation,18,44,50,95,100,123,No,Yes,None,Calcium,B+,6
Obesity,Orlistat,Diarrhea,3,81,36,77,80,152,Occasional,Yes,Sulfa,Vitamin D,B+,7
Malaria,Artemether,Nausea,8,82,43,102,92,148,Occasional,Yes,Penicillin,Vitamin D,AB-,10
Depression,Sertraline,Nausea,10,42,34,63,83,172,Occasional,Not Applicable,Pollen,Iron Supplement,AB-,5
Heart Disease,Aspirin,Dizziness,4,71,44,111,95,122,Yes,No,None,Calcium,B+,4
Thyroid Disorder,Carbimazole,Constipation,15,48,41,117,98,120,No,Not Applicable,Pollen,Vitamin D,A+,5
Depression,Escitalopram,Vomiting,12,52,46,83,84,123,Yes,Yes,Pollen,Calcium,B+,7
Allergy,Cetirizine,Dizziness,5,44,31,88,80,141,Occasional,Yes,Pollen,Iron Supplement,O-,6
Arthritis,Methotrexate,Rash,10,75,47,119,96,137,No,Yes,Dust,None,O-,4
Anxiety,Clonazepam,Sleepiness,3,81,48,77,86,168,Occasional,Not Applicable,Peanuts,Calcium,O-,10
Migraine,Propranolol,Fatigue,13,42,33,69,94,150,Yes,No,Sulfa,Multivitamin,AB+,6
Asthma,Montelukast,Headache,12,89,34,68,83,172,Yes,Not Applicable,Sulfa,Calcium,A-,8
Anxiety,Buspirone,Dizziness,18,51,44,105,97,125,No,Not Applicable,None,Multivitamin,AB-,9
Heart Disease,Atorvastatin,Dizziness,5,73,39,112,100,176,Yes,No,None,Multivitamin,B-,5
Malaria,Artemether,Dizziness,18,76,39,79,90,164,Occasional,No,Sulfa,Iron Supplement,B+,7
Migraine,Topiramate,Diarrhea,13,68,45,67,93,172,No,Yes,Sulfa,Calcium,AB+,4
Hypertension,Atenolol,Diarrhea,14,71,36,119,88,166,Occasional,Not Applicable,Penicillin,Iron Supplement,A-,7
Heart Disease,Atorvastatin,Fatigue,12,66,33,111,98,139,Yes,No,Penicillin,None,B+,7
Thyroid Disorder,Levothyroxine,Constipation,3,64,37,102,90,133,No,Yes,Pollen,Iron Supplement,AB+,8
Depression,Fluoxetine,Dizziness,15,78,37,63,94,126,Occasional,No,Dust,None,AB-,9
